Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR3184294_forward	SRR3184294_forward.gz	Conventional base calls	Sanger / Illumina 1.9	47901563.0	0.0	100.0	49.0	36.405335323421696	100.0	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
SRR3184294_reverse	SRR3184294_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	47901563.0	0.0	100.0	49.0	38.17077365977362	100.0	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
SRR3184295_forward	SRR3184295_forward.gz	Conventional base calls	Sanger / Illumina 1.9	87727770.0	0.0	100.0	51.0	35.36351826340392	100.0	pass	pass	pass	warn	fail	warn	pass	fail	warn	pass
SRR3184295_reverse	SRR3184295_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	87727770.0	0.0	100.0	51.0	34.82918933593273	100.0	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
SRR3184296_forward	SRR3184296_forward.gz	Conventional base calls	Sanger / Illumina 1.9	76472375.0	0.0	100.0	47.0	34.49262399668165	100.0	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR3184296_reverse	SRR3184296_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	76472375.0	0.0	100.0	47.0	37.984042908048075	100.0	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR3184297_forward	SRR3184297_forward.gz	Conventional base calls	Sanger / Illumina 1.9	60745831.0	0.0	100.0	49.0	29.809228455700797	100.0	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR3184297_reverse	SRR3184297_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	60745831.0	0.0	100.0	49.0	33.62540163614066	100.0	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR3184298_forward	SRR3184298_forward.gz	Conventional base calls	Sanger / Illumina 1.9	92289809.0	0.0	100.0	48.0	28.857354877319892	100.0	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
SRR3184298_reverse	SRR3184298_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	92289809.0	0.0	100.0	49.0	29.731106977386997	100.0	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
SRR3184299_forward	SRR3184299_forward.gz	Conventional base calls	Sanger / Illumina 1.9	87211314.0	0.0	100.0	47.0	33.27089198610868	100.0	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
SRR3184299_reverse	SRR3184299_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	87211314.0	0.0	100.0	48.0	57.80863059750266	100.0	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
SRR3184300_forward	SRR3184300_forward.gz	Conventional base calls	Sanger / Illumina 1.9	47512085.0	0.0	100.0	50.0	37.890447734828015	100.0	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
SRR3184300_reverse	SRR3184300_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	47512085.0	0.0	100.0	50.0	39.50648477110809	100.0	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
SRR3184301_forward	SRR3184301_forward.gz	Conventional base calls	Sanger / Illumina 1.9	61680455.0	0.0	100.0	48.0	42.5097574696678	100.0	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR3184301_reverse	SRR3184301_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	61680455.0	0.0	100.0	49.0	39.89858451496286	100.0	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR3184302_forward	SRR3184302_forward.gz	Conventional base calls	Sanger / Illumina 1.9	58770657.0	0.0	35-100	51.0	30.29875304139101	98.22012974944282	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR3184302_reverse	SRR3184302_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	58770657.0	0.0	35-100	52.0	31.352831214076765	98.66459168560937	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR3184303_forward	SRR3184303_forward.gz	Conventional base calls	Sanger / Illumina 1.9	60299574.0	0.0	35-100	46.0	41.7469097627592	98.46190535276418	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR3184303_reverse	SRR3184303_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	60299574.0	0.0	35-100	48.0	42.74749448715415	98.47591596584083	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR3184304_forward	SRR3184304_forward.gz	Conventional base calls	Sanger / Illumina 1.9	61696400.0	0.0	35-100	49.0	34.06181892514427	98.54855443753607	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR3184304_reverse	SRR3184304_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	61696400.0	0.0	35-100	49.0	35.18278200758393	98.59971606122886	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR3184305_forward	SRR3184305_forward.gz	Conventional base calls	Sanger / Illumina 1.9	58664872.0	0.0	35-100	51.0	30.468988459804315	97.95168505609286	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR3184305_reverse	SRR3184305_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	58664872.0	0.0	35-100	52.0	31.48545397707397	98.71663332019202	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR3184306_forward	SRR3184306_forward.gz	Conventional base calls	Sanger / Illumina 1.9	62472286.0	0.0	35-100	49.0	37.50191248035687	98.53665684652552	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR3184306_reverse	SRR3184306_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	62472286.0	0.0	35-100	50.0	38.00760925500769	98.6142168064732	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
